order,crop,country,community,year,indicator,bin,orig_value,tag,value
001,ABE,Zimbabwe,Zimbabwe,2022/23,No. of growing communities,Zimbabwe,3,communities,3 communities
002,ABE,Malawi,Malawi,2022/23,No. of growing communities,Malawi,2,communities,2 communities
003,ABE,Mozambique,Mozambique,2022/23,No. of growing communities,Mozambique,7,communities,7 communities
004,ABE,Zimbabwe,Zimbabwe,2022/23,Percentage change in Avg Gross Income per Farmer (2021/22 - 2022/23),Zimbabwe,0.0006,,0.0006 
005,ABE,Malawi,Malawi,2022/23,Percentage change in Avg Gross Income per Farmer (2021/22 - 2022/23),Malawi,-0.6428,,-0.6428 
006,ABE,Mozambique,Mozambique,2022/23,Percentage change in Avg Gross Income per Farmer (2021/22 - 2022/23),Mozambique,0.2382,,0.2382 
007,ABE,Zimbabwe,Zimbabwe,2022/23,Percentage change in Avg True Earnings per Farmer (2021/22 - 2022/23),Zimbabwe,-0.4026,,-0.4026 
008,ABE,Malawi,Malawi,2022/23,Percentage change in Avg True Earnings per Farmer (2021/22 - 2022/23),Malawi,-0.8078,,-0.8078 
009,ABE,Zimbabwe,Zimbabwe,2022/23,Average Gross Income,Zimbabwe,830.35,,$830.35 
010,ABE,Malawi,Malawi,2022/23,Average Gross Income,Malawi,363.76,,$363.76 
011,ABE,Mozambique,Mozambique,2022/23,Average Gross Income,Mozambique,3788.53,,"$3,788.53 "
012,ABE,Zimbabwe,Zimbabwe,2021/22,Average Gross Income,Zimbabwe,829.83,,$829.83 
013,ABE,Malawi,Malawi,2021/22,Average Gross Income,Malawi,1018.31,,"$1,018.31 "
014,ABE,Mozambique,Mozambique,2021/22,Average Gross Income,Mozambique,3059.69,,"$3,059.69 "
015,ABE,Zimbabwe,Zimbabwe,2022/23,Average True Earnings,Zimbabwe,364.74,,$364.74 
016,ABE,Malawi,Malawi,2022/23,Average True Earnings,Malawi,98.24,,$98.24 
017,ABE,Zimbabwe,Zimbabwe,2021/22,Average True Earnings,Zimbabwe,610.57,,$610.57 
018,ABE,Malawi,Malawi,2021/22,Average True Earnings,Malawi,510.99,,$510.99 
019,ABE,Mozambique,Mozambique,2022/23,farmers_monthly_wages,Above minimum wage,0.5000,,0.5000 
020,ABE,Mozambique,Mozambique,2022/23,farmers_monthly_wages,Below minimum wage,0.5000,,0.5000 
021,ABE,Mozambique,Mozambique,2022/23,farmers_annual_leave,Some leave,0.6100,,0.6100 
022,ABE,Mozambique,Mozambique,2022/23,farmers_annual_leave,No leave,0.3900,,0.3900 
023,ABE,Mozambique,Mozambique,2022/23,farmers_contractual_status,Contract in place,0.5600,,0.5600 
024,ABE,Mozambique,Mozambique,2022/23,farmers_contractual_status,No contract,0.4400,,0.4400 
025,ABE,Mozambique,Mozambique,2022/23,employers_preference_to_hire_men,Prefer to hire men,0.5000,,0.5000 
026,ABE,Mozambique,Mozambique,2022/23,employers_preference_to_hire_men,No preference,0.5000,,0.5000 
027,ABE,Mozambique,Mozambique,2022/23,farmers_training_received,No training received,0.5600,,0.5600 
028,ABE,Mozambique,Mozambique,2022/23,farmers_training_received,Training received,0.4400,,0.4400 
029,ABE,Mozambique,Mozambique,2022/23,famers_informed_about_work_hazards,Not informed,0.4400,,0.4400 
030,ABE,Mozambique,Mozambique,2022/23,famers_informed_about_work_hazards,Informed,0.5600,,0.5600 
031,ABE,Mozambique,Mozambique,2022/23,farmers_provided_with_protective_equip,Yes,0.1700,,0.1700 
032,ABE,Mozambique,Mozambique,2022/23,farmers_provided_with_protective_equip,No,0.8300,,0.8300 
033,ABE,Zimbabwe,Zimbabwe,2022/23,childrens_education_chart,Percentage of children attending primary school,0.9600,,0.9600 
