Community,Country,Year,Crop,Ordering,Gross Income Bracket,Count
Birchenough,Zimbabwe,2022/23,ABE,001,$0-499,55.00
Birchenough,Zimbabwe,2022/23,ABE,002,$500-999,102.00
Birchenough,Zimbabwe,2022/23,ABE,003,$1000-1499,57.00
Birchenough,Zimbabwe,2022/23,ABE,004,$1500-1999,23.00
Birchenough,Zimbabwe,2022/23,ABE,005,$2000-$2499,0.00
Birchenough,Zimbabwe,2022/23,ABE,006,$2500+,12.00
Ruware,Zimbabwe,2022/23,ABE,007,$0-499,46.00
Ruware,Zimbabwe,2022/23,ABE,008,$500-999,49.00
Ruware,Zimbabwe,2022/23,ABE,009,$1000-1499,14.00
Ruware,Zimbabwe,2022/23,ABE,010,$1500-1999,5.00
Ruware,Zimbabwe,2022/23,ABE,011,$2000-$2499,0.00
Ruware,Zimbabwe,2022/23,ABE,012,$2500+,2.00
Zaka,Zimbabwe,2022/23,ABE,013,$0-499,68.00
Zaka,Zimbabwe,2022/23,ABE,014,$500-999,72.00
Zaka,Zimbabwe,2022/23,ABE,015,$1000-1499,25.00
Zaka,Zimbabwe,2022/23,ABE,016,$1500-1999,7.00
Zaka,Zimbabwe,2022/23,ABE,017,$2000-$2499,0.00
Zaka,Zimbabwe,2022/23,ABE,018,$2500+,3.00
