Community,Country,Year,Crop,Ordering,Total Loan Bracket,Count
Birchenough,Zimbabwe,2022/23,ABE,001,$0-99,6.00
Birchenough,Zimbabwe,2022/23,ABE,002,$100-199,145.00
Birchenough,Zimbabwe,2022/23,ABE,003,$200-299,76.00
Birchenough,Zimbabwe,2022/23,ABE,004,$300-399,21.00
Birchenough,Zimbabwe,2022/23,ABE,005,$400-499,10.00
Birchenough,Zimbabwe,2022/23,ABE,006,$500-599,4.00
Birchenough,Zimbabwe,2022/23,ABE,007,$600-699,2.00
Birchenough,Zimbabwe,2022/23,ABE,008,$700-799,0.00
Birchenough,Zimbabwe,2022/23,ABE,009,$800-899,0.00
Birchenough,Zimbabwe,2022/23,ABE,010,$900-999,0.00
Birchenough,Zimbabwe,2022/23,ABE,011,$1000+,1.00
Ruware,Zimbabwe,2022/23,ABE,012,$0-99,2.00
Ruware,Zimbabwe,2022/23,ABE,013,$100-199,41.00
Ruware,Zimbabwe,2022/23,ABE,014,$200-299,59.00
Ruware,Zimbabwe,2022/23,ABE,015,$300-399,16.00
Ruware,Zimbabwe,2022/23,ABE,016,$400-499,0.00
Ruware,Zimbabwe,2022/23,ABE,017,$500-599,0.00
Ruware,Zimbabwe,2022/23,ABE,018,$600-699,0.00
Ruware,Zimbabwe,2022/23,ABE,019,$700-799,0.00
Ruware,Zimbabwe,2022/23,ABE,020,$800-899,0.00
Ruware,Zimbabwe,2022/23,ABE,021,$900-999,0.00
Ruware,Zimbabwe,2022/23,ABE,022,$1000+,0.00
Zaka,Zimbabwe,2022/23,ABE,023,$0-99,4.00
Zaka,Zimbabwe,2022/23,ABE,024,$100-199,22.00
Zaka,Zimbabwe,2022/23,ABE,025,$200-299,116.00
Zaka,Zimbabwe,2022/23,ABE,026,$300-399,30.00
Zaka,Zimbabwe,2022/23,ABE,027,$400-499,4.00
Zaka,Zimbabwe,2022/23,ABE,028,$500-599,1.00
Zaka,Zimbabwe,2022/23,ABE,029,$600-699,0.00
Zaka,Zimbabwe,2022/23,ABE,030,$700-799,0.00
Zaka,Zimbabwe,2022/23,ABE,031,$800-899,0.00
Zaka,Zimbabwe,2022/23,ABE,032,$900-999,0.00
Zaka,Zimbabwe,2022/23,ABE,033,$1000+,0.00
