Year,Country,Community,Crop,Level of importance,Core programme component,Count
2022/23,Zimbabwe,Birchenough,ABE,Most important,Fixed prices,2.00
2022/23,Zimbabwe,Birchenough,ABE,Most important,Inputs on credit,8.00
2022/23,Zimbabwe,Birchenough,ABE,Most important,Technical support,8.00
2022/23,Zimbabwe,Birchenough,ABE,Average importance,Fixed prices,4.00
2022/23,Zimbabwe,Birchenough,ABE,Average importance,Inputs on credit,6.00
2022/23,Zimbabwe,Birchenough,ABE,Average importance,Technical support,8.00
2022/23,Zimbabwe,Birchenough,ABE,Least important,Fixed prices,12.00
2022/23,Zimbabwe,Birchenough,ABE,Least important,Inputs on credit,3.00
2022/23,Zimbabwe,Birchenough,ABE,Least important,Technical support,3.00
2022/23,Zimbabwe,Ruware,ABE,Most important,Fixed prices,7.00
2022/23,Zimbabwe,Ruware,ABE,Most important,Inputs on credit,4.00
2022/23,Zimbabwe,Ruware,ABE,Most important,Technical support,10.00
2022/23,Zimbabwe,Ruware,ABE,Average importance,Fixed prices,3.00
2022/23,Zimbabwe,Ruware,ABE,Average importance,Inputs on credit,9.00
2022/23,Zimbabwe,Ruware,ABE,Average importance,Technical support,9.00
2022/23,Zimbabwe,Ruware,ABE,Least important,Fixed prices,11.00
2022/23,Zimbabwe,Ruware,ABE,Least important,Inputs on credit,8.00
2022/23,Zimbabwe,Ruware,ABE,Least important,Technical support,2.00
2022/23,Zimbabwe,Zaka,ABE,Most important,Fixed prices,5.00
2022/23,Zimbabwe,Zaka,ABE,Most important,Inputs on credit,5.00
2022/23,Zimbabwe,Zaka,ABE,Most important,Technical support,11.00
2022/23,Zimbabwe,Zaka,ABE,Average importance,Fixed prices,1.00
2022/23,Zimbabwe,Zaka,ABE,Average importance,Inputs on credit,17.00
2022/23,Zimbabwe,Zaka,ABE,Average importance,Technical support,3.00
2022/23,Zimbabwe,Zaka,ABE,Least important,Fixed prices,15.00
2022/23,Zimbabwe,Zaka,ABE,Least important,Inputs on credit,0.00
2022/23,Zimbabwe,Zaka,ABE,Least important,Technical support,6.00
