Year,Country,Community,Crop,Size of Total Farmland,Count
2022/23,Zimbabwe,Birchenough,ABE,<1ha,15.00
2022/23,Zimbabwe,Birchenough,ABE,1-1.9ha,3.00
2022/23,Zimbabwe,Birchenough,ABE,2-2.9ha,0.00
2022/23,Zimbabwe,Birchenough,ABE,3-3.9ha,1.00
2022/23,Zimbabwe,Birchenough,ABE,4-4.9ha,0.00
2022/23,Zimbabwe,Birchenough,ABE,5-5.9ha,1.00
2022/23,Zimbabwe,Birchenough,ABE,6-6.9ha,0.00
2022/23,Zimbabwe,Birchenough,ABE,7-7.9ha,0.00
2022/23,Zimbabwe,Birchenough,ABE,8-8.9ha,1.00
2022/23,Zimbabwe,Birchenough,ABE,9-9.9ha,0.00
2022/23,Zimbabwe,Birchenough,ABE,10ha+,0.00
2022/23,Zimbabwe,Ruware,ABE,<1ha,6.00
2022/23,Zimbabwe,Ruware,ABE,1-1.9ha,2.00
2022/23,Zimbabwe,Ruware,ABE,2-2.9ha,4.00
2022/23,Zimbabwe,Ruware,ABE,3-3.9ha,6.00
2022/23,Zimbabwe,Ruware,ABE,4-4.9ha,0.00
2022/23,Zimbabwe,Ruware,ABE,5-5.9ha,3.00
2022/23,Zimbabwe,Ruware,ABE,6-6.9ha,2.00
2022/23,Zimbabwe,Ruware,ABE,7-7.9ha,0.00
2022/23,Zimbabwe,Ruware,ABE,8-8.9ha,0.00
2022/23,Zimbabwe,Ruware,ABE,9-9.9ha,0.00
2022/23,Zimbabwe,Ruware,ABE,10ha+,0.00
2022/23,Zimbabwe,Zaka,ABE,<1ha,18.00
2022/23,Zimbabwe,Zaka,ABE,1-1.9ha,9.00
2022/23,Zimbabwe,Zaka,ABE,2-2.9ha,2.00
2022/23,Zimbabwe,Zaka,ABE,3-3.9ha,1.00
2022/23,Zimbabwe,Zaka,ABE,4-4.9ha,0.00
2022/23,Zimbabwe,Zaka,ABE,5-5.9ha,0.00
2022/23,Zimbabwe,Zaka,ABE,6-6.9ha,0.00
2022/23,Zimbabwe,Zaka,ABE,7-7.9ha,0.00
2022/23,Zimbabwe,Zaka,ABE,8-8.9ha,0.00
2022/23,Zimbabwe,Zaka,ABE,9-9.9ha,0.00
2022/23,Zimbabwe,Zaka,ABE,10ha+,0.00
