order,crop,country,community,year,indicator,bin,value,percentage
001,ABE,Zimbabwe,Zimbabwe,2022/23,Fixed Prices,Most important,14.00,0.2500
002,ABE,Zimbabwe,Zimbabwe,2022/23,Fixed Prices,Average importance,8.00,0.1429
003,ABE,Zimbabwe,Zimbabwe,2022/23,Fixed Prices,Least important,34.00,0.6071
004,ABE,Zimbabwe,Birchenough,2022/23,Fixed Prices,Most important,2.00,0.1111
005,ABE,Zimbabwe,Birchenough,2022/23,Fixed Prices,Average importance,4.00,0.2222
006,ABE,Zimbabwe,Birchenough,2022/23,Fixed Prices,Least important,12.00,0.6667
007,ABE,Zimbabwe,Zaka,2022/23,Fixed Prices,Most important,5.00,0.2381
008,ABE,Zimbabwe,Zaka,2022/23,Fixed Prices,Average importance,1.00,0.0476
009,ABE,Zimbabwe,Zaka,2022/23,Fixed Prices,Least important,15.00,0.7143
010,ABE,Zimbabwe,Ruware,2022/23,Fixed Prices,Most important,7.00,0.4118
011,ABE,Zimbabwe,Ruware,2022/23,Fixed Prices,Average importance,3.00,0.1765
012,ABE,Zimbabwe,Ruware,2022/23,Fixed Prices,Least important,7.00,0.4118
013,ABE,Zimbabwe,Zimbabwe,2022/23,Inputs on Credit,Most important,17.00,0.3036
014,ABE,Zimbabwe,Zimbabwe,2022/23,Inputs on Credit,Average importance,32.00,0.5714
015,ABE,Zimbabwe,Zimbabwe,2022/23,Inputs on Credit,Least important,7.00,0.1250
016,ABE,Zimbabwe,Birchenough,2022/23,Inputs on Credit,Most important,8.00,0.4706
017,ABE,Zimbabwe,Birchenough,2022/23,Inputs on Credit,Average importance,6.00,0.3529
018,ABE,Zimbabwe,Birchenough,2022/23,Inputs on Credit,Least important,3.00,0.1765
019,ABE,Zimbabwe,Zaka,2022/23,Inputs on Credit,Most important,5.00,0.2273
020,ABE,Zimbabwe,Zaka,2022/23,Inputs on Credit,Average importance,17.00,0.7727
021,ABE,Zimbabwe,Zaka,2022/23,Inputs on Credit,Least important,0.00,0.0000
022,ABE,Zimbabwe,Ruware,2022/23,Inputs on Credit,Most important,4.00,0.2353
023,ABE,Zimbabwe,Ruware,2022/23,Inputs on Credit,Average importance,9.00,0.5294
024,ABE,Zimbabwe,Ruware,2022/23,Inputs on Credit,Least important,4.00,0.2353
025,ABE,Zimbabwe,Zimbabwe,2022/23,Tech Support,Most important,29.00,0.4265
026,ABE,Zimbabwe,Zimbabwe,2022/23,Tech Support,Average importance,20.00,0.2941
027,ABE,Zimbabwe,Zimbabwe,2022/23,Tech Support,Least important,19.00,0.2794
028,ABE,Zimbabwe,Birchenough,2022/23,Tech Support,Most important,8.00,0.4211
029,ABE,Zimbabwe,Birchenough,2022/23,Tech Support,Average importance,8.00,0.4211
