order,crop,country,community,year,indicator,orig_value,tag,value
001,ABE,Zimbabwe,Zimbabwe,2022/23,Total Farmers,560.00,farmers,560 farmers
002,ABE,Malawi,Malawi,2022/23,Total Farmers,281.00,farmers,281 farmers
003,ABE,Mozambique,Mozambique,2022/23,Total Farmers,35.00,farmers,35 farmers
004,ABE,Zimbabwe,Zimbabwe,2022/23,Total Land Cultivated,96.43,ha,96.4ha
005,ABE,Malawi,Malawi,2022/23,Total Land Cultivated,63.19,ha,63.2ha
006,ABE,Mozambique,Mozambique,2022/23,Total Land Cultivated,29.57,ha,29.6ha
007,ABE,Zimbabwe,Zimbabwe,2022/23,Average Plot Size,0.17,ha,0.17ha
008,ABE,Malawi,Malawi,2022/23,Average Plot Size,0.23,ha,0.23ha
009,ABE,Mozambique,Mozambique,2022/23,Average Plot Size,0.88,ha,0.88ha
010,ABE,Zimbabwe,Zimbabwe,2022/23,Average Productivity,"1,493.79",kg [per 0.25 ha],"1,493.8kg [per 0.25 ha]"
011,ABE,Malawi,Malawi,2022/23,Average Productivity,168.53,kg [per 0.25 ha],168.5kg [per 0.25 ha]
012,ABE,Mozambique,Mozambique,2022/23,Average Productivity,$956.06,kg [per 0.25 ha],956.1kg [per 0.25 ha]
013,ABE,Zimbabwe,Zimbabwe,2022/23,Average Gross Income,$830.35,,$830.35 
014,ABE,Malawi,Malawi,2022/23,Average Gross Income,$363.76,,$363.76 
015,ABE,Mozambique,Mozambique,2022/23,Average Gross Income,"$3,788.53",,"$3,788.53 "
016,ABE,Zimbabwe,Zimbabwe,2022/23,Average True Earnings,$364.74,,$364.74 
017,ABE,Malawi,Malawi,2022/23,Average True Earnings,$98.24,,$98.24 
019,ABE,Zimbabwe,Zimbabwe,2022/23,Average Gross Income per 0.25 ha,"$1,195.03",,"$1,195.03 "
020,ABE,Malawi,Malawi,2022/23,Average Gross Income per 0.25 ha,$411.37,,$411.37 
021,ABE,Mozambique,Mozambique,2022/23,Average Gross Income per 0.25 ha,$963.18,,$963.18 
022,ABE,Zimbabwe,Zimbabwe,2022/23,Average True Earnings per 0.25 ha,$492.44,,$492.44 
023,ABE,Malawi,Malawi,2022/23,Average True Earnings per 0.25 ha,$112.31,,$112.31 
025,ABE,Zimbabwe,Birchenough,2022/23,Total Farmers,265.00,farmers,265 farmers
026,ABE,Zimbabwe,Zaka,2022/23,Total Farmers,177.00,farmers,177 farmers
027,ABE,Zimbabwe,Ruware,2022/23,Total Farmers,118.00,farmers,118 farmers
028,ABE,Malawi,Chikwawa,2022/23,Total Farmers,198.00,farmers,198 farmers
029,ABE,Malawi,Katowo,2022/23,Total Farmers,83.00,farmers,83 farmers
030,ABE,Mozambique,Small scale commercial farmers,2022/23,Total Farmers,21.00,farmers,21 farmers
031,ABE,Mozambique,Subsistence farmers,2022/23,Total Farmers,13.00,farmers,13 farmers
032,ABE,Mozambique,Organisation farmers,2022/23,Total Farmers,1.00,farmers,1 farmers
033,ABE,Zimbabwe,Birchenough,2022/23,Total Land Cultivated,44.22,ha,44.2ha
034,ABE,Zimbabwe,Zaka,2022/23,Total Land Cultivated,31.15,ha,31.1ha
035,ABE,Zimbabwe,Ruware,2022/23,Total Land Cultivated,21.05,ha,21.1ha
036,ABE,Malawi,Chikwawa,2022/23,Total Land Cultivated,43.35,ha,43.3ha
037,ABE,Malawi,Katowo,2022/23,Total Land Cultivated,19.84,ha,19.8ha
038,ABE,Mozambique,Small scale commercial farmers,2022/23,Total Land Cultivated,19.15,ha,19.2ha
039,ABE,Mozambique,Subsistence farmers,2022/23,Total Land Cultivated,9.42,ha,9.4ha
040,ABE,Mozambique,Organisation farmers,2022/23,Total Land Cultivated,1.00,ha,1.0ha
041,ABE,Zimbabwe,Birchenough,2022/23,Average Plot Size,0.17,ha,0.17ha
042,ABE,Zimbabwe,Zaka,2022/23,Average Plot Size,0.18,ha,0.18ha
043,ABE,Zimbabwe,Ruware,2022/23,Average Plot Size,0.18,ha,0.18ha
044,ABE,Malawi,Chikwawa,2022/23,Average Plot Size,0.22,ha,0.22ha
045,ABE,Malawi,Katowo,2022/23,Average Plot Size,0.24,ha,0.24ha
046,ABE,Mozambique,Small scale commercial farmers,2022/23,Average Plot Size,0.91,ha,0.91ha
047,ABE,Mozambique,Subsistence farmers,2022/23,Average Plot Size,0.72,ha,0.72ha
048,ABE,Mozambique,Organisation farmers,2022/23,Average Plot Size,1.00,ha,1.00ha
049,ABE,Zimbabwe,Birchenough,2022/23,Average Productivity,"1,995.93",kg [per 0.25 ha],"1,995.9kg [per 0.25 ha]"
050,ABE,Zimbabwe,Zaka,2022/23,Average Productivity,"1,295.51",kg [per 0.25 ha],"1,295.5kg [per 0.25 ha]"
051,ABE,Zimbabwe,Ruware,2022/23,Average Productivity,"1,189.92",kg [per 0.25 ha],"1,189.9kg [per 0.25 ha]"
052,ABE,Malawi,Chikwawa,2022/23,Average Productivity,163.06,kg [per 0.25 ha],163.1kg [per 0.25 ha]
053,ABE,Malawi,Katowo,2022/23,Average Productivity,174.01,kg [per 0.25 ha],174.0kg [per 0.25 ha]
