unique farmer ID,crop,country,community,year,indicator,bin,value
AA08jwa,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,425.44
AA15gnr,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1000-1499,1262.40
AA82mgh,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,895.68
AC44cev,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,277.28
AD33wwj,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,992.88
AH59ujl,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,283.00
AI74cce,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,87.05
AJ28noq,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,0.00
AJ44tdi,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$500-999,619.95
AL79kxw,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,354.88
AM61yup,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,216.67
AM79stm,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,370.94
AM97kzl,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,385.20
AO12whi,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,100.14
AO61xcq,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$500-999,894.07
AQ50ihn,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,384.55
AQ55ajp,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,730.48
AR01kjr,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,788.16
AR05tur,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,473.76
AS49cml,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,279.82
AW61rzy,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,522.16
AX43lgg,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,277.79
AY52cef,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,25.16
AY92bfh,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$2000-2499,2212.80
AZ32gpq,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,543.76
AZ47khe,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,279.70
BA68wqi,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,825.52
BB86hxk,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$2000-2499,2026.88
BB96kwb,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,21.20
BC32fvl,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$1000-1499,1452.72
BD15hvo,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,650.48
BD66ehr,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,201.16
BE49owh,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,219.52
BE69ezv,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,724.16
BG35cxu,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,144.36
BG37lil,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1500-1999,1512.00
BG84pst,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,563.12
BJ69kug,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,183.88
BK09dhc,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,87.52
BL81odh,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,396.03
