order,crop,country,community,indicator,bin,value
1,ABE,Zimbabwe,Zimbabwe,Education,Baseline,3.5
2,ABE,Zimbabwe,Zimbabwe,Education,2015/16,5.0
3,ABE,Zimbabwe,Zimbabwe,Education,2016/17,3.6
4,ABE,Zimbabwe,Zimbabwe,Education,2017/18,5.4
5,ABE,Zimbabwe,Zimbabwe,Education,2018/19,7.2
6,ABE,Zimbabwe,Zimbabwe,Education,2019/20,5.6
7,ABE,Zimbabwe,Zimbabwe,Education,2020/21,7.2
8,ABE,Zimbabwe,Zimbabwe,Education,2021/22,5.6
9,ABE,Zimbabwe,Zimbabwe,Education,2022/23,5.8
10,ABE,Zimbabwe,Birchenough,Education,Baseline,4.0
11,ABE,Zimbabwe,Birchenough,Education,2015/16,6.0
12,ABE,Zimbabwe,Birchenough,Education,2016/17,7.0
13,ABE,Zimbabwe,Birchenough,Education,2017/18,7.0
14,ABE,Zimbabwe,Birchenough,Education,2018/19,7.5
15,ABE,Zimbabwe,Birchenough,Education,2019/20,7.5
16,ABE,Zimbabwe,Birchenough,Education,2020/21,7.5
17,ABE,Zimbabwe,Birchenough,Education,2021/22,7.7
18,ABE,Zimbabwe,Birchenough,Education,2022/23,8.0
19,ABE,Zimbabwe,Zaka,Education,Baseline,5.0
20,ABE,Zimbabwe,Zaka,Education,2015/16,7.0
21,ABE,Zimbabwe,Zaka,Education,2016/17,0.0
22,ABE,Zimbabwe,Zaka,Education,2017/18,7.0
23,ABE,Zimbabwe,Zaka,Education,2018/19,7.0
24,ABE,Zimbabwe,Zaka,Education,2019/20,7.5
25,ABE,Zimbabwe,Zaka,Education,2020/21,7.0
26,ABE,Zimbabwe,Zaka,Education,2021/22,7.0
27,ABE,Zimbabwe,Zaka,Education,2022/23,7.3
28,ABE,Zimbabwe,Ruware,Education,Baseline,5.0
29,ABE,Zimbabwe,Ruware,Education,2015/16,7.0
30,ABE,Zimbabwe,Ruware,Education,2016/17,7.5
31,ABE,Zimbabwe,Ruware,Education,2017/18,7.5
32,ABE,Zimbabwe,Ruware,Education,2018/19,7.5
33,ABE,Zimbabwe,Ruware,Education,2019/20,7.5
34,ABE,Zimbabwe,Ruware,Education,2020/21,7.5
