order,crop,country,community,indicator,bin,value
001,ABE,Zimbabwe,Zimbabwe,Education,Baseline,3.5
002,ABE,Zimbabwe,Zimbabwe,Education,2015/16,5.0
003,ABE,Zimbabwe,Zimbabwe,Education,2016/17,3.6
004,ABE,Zimbabwe,Zimbabwe,Education,2017/18,5.4
005,ABE,Zimbabwe,Zimbabwe,Education,2018/19,7.2
006,ABE,Zimbabwe,Zimbabwe,Education,2019/20,5.6
007,ABE,Zimbabwe,Zimbabwe,Education,2020/21,7.2
008,ABE,Zimbabwe,Zimbabwe,Education,2021/22,5.6
009,ABE,Zimbabwe,Zimbabwe,Education,2022/23,5.8
010,ABE,Zimbabwe,Birchenough,Education,Baseline,4.0
011,ABE,Zimbabwe,Birchenough,Education,2015/16,6.0
012,ABE,Zimbabwe,Birchenough,Education,2016/17,7.0
013,ABE,Zimbabwe,Birchenough,Education,2017/18,7.0
014,ABE,Zimbabwe,Birchenough,Education,2018/19,7.5
015,ABE,Zimbabwe,Birchenough,Education,2019/20,7.5
016,ABE,Zimbabwe,Birchenough,Education,2020/21,7.5
017,ABE,Zimbabwe,Birchenough,Education,2021/22,7.7
018,ABE,Zimbabwe,Birchenough,Education,2022/23,8.0
019,ABE,Zimbabwe,Zaka,Education,Baseline,5.0
020,ABE,Zimbabwe,Zaka,Education,2015/16,7.0
021,ABE,Zimbabwe,Zaka,Education,2016/17,0.0
022,ABE,Zimbabwe,Zaka,Education,2017/18,7.0
023,ABE,Zimbabwe,Zaka,Education,2018/19,7.0
024,ABE,Zimbabwe,Zaka,Education,2019/20,7.5
025,ABE,Zimbabwe,Zaka,Education,2020/21,7.0
026,ABE,Zimbabwe,Zaka,Education,2021/22,7.0
027,ABE,Zimbabwe,Zaka,Education,2022/23,7.3
028,ABE,Zimbabwe,Ruware,Education,Baseline,5.0
029,ABE,Zimbabwe,Ruware,Education,2015/16,7.0
030,ABE,Zimbabwe,Ruware,Education,2016/17,7.5
031,ABE,Zimbabwe,Ruware,Education,2017/18,7.5
032,ABE,Zimbabwe,Ruware,Education,2018/19,7.5
033,ABE,Zimbabwe,Ruware,Education,2019/20,7.5
034,ABE,Zimbabwe,Ruware,Education,2020/21,7.5
035,ABE,Zimbabwe,Ruware,Education,2021/22,7.5
036,ABE,Zimbabwe,Ruware,Education,2022/23,7.8
037,ABE,Zimbabwe,Gokwe,Education,Baseline,0.0
038,ABE,Zimbabwe,Gokwe,Education,2015/16,0.0
