crop,country,community,year,table,indicator,orig_value,tag,value
ABE,Zimbabwe,Zimbabwe,2022/23,background_key_metrics,Total Farmers,560,farmers,560 farmers
ABE,Zimbabwe,Birchenough,2022/23,background_key_metrics,Total Farmers,265,farmers,265 farmers
ABE,Zimbabwe,Zaka,2022/23,background_key_metrics,Total Farmers,177,farmers,177 farmers
ABE,Zimbabwe,Ruware,2022/23,background_key_metrics,Total Farmers,118,farmers,118 farmers
ABE,Malawi,Malawi,2022/23,background_key_metrics,Total Farmers,281,farmers,281 farmers
ABE,Malawi,Chikwawa,2022/23,background_key_metrics,Total Farmers,198,farmers,198 farmers
ABE,Malawi,Katowo,2022/23,background_key_metrics,Total Farmers,83,farmers,83 farmers
ABE,Mozambique,Mozambique,2022/23,background_key_metrics,Total Farmers,77,farmers,77 farmers
ABE,Mozambique,Small scale commercial farmers,2022/23,background_key_metrics,Total Farmers,36,farmers,36 farmers
ABE,Mozambique,Subsistence farmers,2022/23,background_key_metrics,Total Farmers,40,farmers,40 farmers
ABE,Mozambique,Organisation farmers,2022/23,background_key_metrics,Total Farmers,1,farmers,1 farmers
ABE,Zimbabwe,Zimbabwe,2022/23,background_key_metrics,Total Production,616.8,MT [fresh],616.8 MT [fresh]
ABE,Zimbabwe,Birchenough,2022/23,background_key_metrics,Total Production,352.9,MT [fresh],352.9 MT [fresh]
ABE,Zimbabwe,Zaka,2022/23,background_key_metrics,Total Production,160.9,MT [fresh],160.9 MT [fresh]
ABE,Zimbabwe,Ruware,2022/23,background_key_metrics,Total Production,103.1,MT [fresh],103.1 MT [fresh]
ABE,Malawi,Malawi,2022/23,background_key_metrics,Total Production,121.4,MT [fresh],121.4 MT [fresh]
ABE,Malawi,Chikwawa,2022/23,background_key_metrics,Total Production,80.7,MT [fresh],80.7 MT [fresh]
ABE,Malawi,Katowo,2022/23,background_key_metrics,Total Production,40.8,MT [fresh],40.8 MT [fresh]
ABE,Mozambique,Mozambique,2022/23,background_key_metrics,Total Production,234.0,MT [fresh],234.0 MT [fresh]
ABE,Mozambique,Small scale commercial farmers,2022/23,background_key_metrics,Total Production,158.5,MT [fresh],158.5 MT [fresh]
ABE,Mozambique,Subsistence farmers,2022/23,background_key_metrics,Total Production,69.4,MT [fresh],69.4 MT [fresh]
ABE,Mozambique,Organisation farmers,2022/23,background_key_metrics,Total Production,6.0,MT [fresh],6.0 MT [fresh]
ABE,Zimbabwe,Zimbabwe,2022/23,background_key_metrics,Total Land Cultivated,96.4,ha,96.4ha
ABE,Zimbabwe,Birchenough,2022/23,background_key_metrics,Total Land Cultivated,44.2,ha,44.2ha
ABE,Zimbabwe,Zaka,2022/23,background_key_metrics,Total Land Cultivated,31.1,ha,31.1ha
ABE,Zimbabwe,Ruware,2022/23,background_key_metrics,Total Land Cultivated,21.1,ha,21.1ha
ABE,Malawi,Malawi,2022/23,background_key_metrics,Total Land Cultivated,63.2,ha,63.2ha
ABE,Malawi,Chikwawa,2022/23,background_key_metrics,Total Land Cultivated,43.3,ha,43.3ha
ABE,Malawi,Katowo,2022/23,background_key_metrics,Total Land Cultivated,19.8,ha,19.8ha
ABE,Mozambique,Mozambique,2022/23,background_key_metrics,Total Land Cultivated,62.8,ha,62.8ha
ABE,Mozambique,Small scale commercial farmers,2022/23,background_key_metrics,Total Land Cultivated,30.3,ha,30.3ha
ABE,Mozambique,Subsistence farmers,2022/23,background_key_metrics,Total Land Cultivated,31.4,ha,31.4ha
ABE,Mozambique,Organisation farmers,2022/23,background_key_metrics,Total Land Cultivated,1.0,ha,1.0ha
ABE,Zimbabwe,Zimbabwe,2022/23,background_key_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Zimbabwe,Birchenough,2022/23,background_key_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Zimbabwe,Zaka,2022/23,background_key_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Zimbabwe,Ruware,2022/23,background_key_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Malawi,Malawi,2022/23,background_key_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Malawi,Chikwawa,2022/23,background_key_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Malawi,Katowo,2022/23,background_key_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Mozambique,Mozambique,2022/23,background_key_metrics,Average Plot Size,0.8,ha,0.8ha
ABE,Mozambique,Small scale commercial farmers,2022/23,background_key_metrics,Average Plot Size,0.8,ha,0.8ha
ABE,Mozambique,Subsistence farmers,2022/23,background_key_metrics,Average Plot Size,0.8,ha,0.8ha
ABE,Mozambique,Organisation farmers,2022/23,background_key_metrics,Average Plot Size,1.0,ha,1.0ha
ABE,Zimbabwe,Zimbabwe,2022/23,background_key_metrics,Average Harvest,"1,115.4",kg [fresh],"1,115.4kg [fresh]"
ABE,Zimbabwe,Birchenough,2022/23,background_key_metrics,Average Harvest,"1,331.6",kg [fresh],"1,331.6kg [fresh]"
ABE,Zimbabwe,Zaka,2022/23,background_key_metrics,Average Harvest,924.5,kg [fresh],924.5kg [fresh]
ABE,Zimbabwe,Ruware,2022/23,background_key_metrics,Average Harvest,904.1,kg [fresh],904.1kg [fresh]
ABE,Malawi,Malawi,2022/23,background_key_metrics,Average Harvest,432.1,kg [fresh],432.1kg [fresh]
ABE,Malawi,Chikwawa,2022/23,background_key_metrics,Average Harvest,407.4,kg [fresh],407.4kg [fresh]
ABE,Malawi,Katowo,2022/23,background_key_metrics,Average Harvest,491.1,kg [fresh],491.1kg [fresh]
ABE,Mozambique,Mozambique,2022/23,background_key_metrics,Average Harvest,"3,038.5",kg [fresh],"3,038.5kg [fresh]"
ABE,Mozambique,Small scale commercial farmers,2022/23,background_key_metrics,Average Harvest,"4,403.4",kg [fresh],"4,403.4kg [fresh]"
ABE,Mozambique,Subsistence farmers,2022/23,background_key_metrics,Average Harvest,"1,735.6",kg [fresh],"1,735.6kg [fresh]"
ABE,Mozambique,Organisation farmers,2022/23,background_key_metrics,Average Harvest,"6,015.0",kg [fresh],"6,015.0kg [fresh]"
ABE,Zimbabwe,Zimbabwe,2022/23,background_key_metrics,Average Productivity,"1,604.7",kg [per 0.25 ha],"1,604.7kg [per 0.25 ha]"
ABE,Zimbabwe,Birchenough,2022/23,background_key_metrics,Average Productivity,"1,995.9",kg [per 0.25 ha],"1,995.9kg [per 0.25 ha]"
ABE,Zimbabwe,Zaka,2022/23,background_key_metrics,Average Productivity,"1,295.5",kg [per 0.25 ha],"1,295.5kg [per 0.25 ha]"
ABE,Zimbabwe,Ruware,2022/23,background_key_metrics,Average Productivity,"1,189.9",kg [per 0.25 ha],"1,189.9kg [per 0.25 ha]"
ABE,Malawi,Malawi,2022/23,background_key_metrics,Average Productivity,490.1,kg [per 0.25 ha],490.1kg [per 0.25 ha]
ABE,Malawi,Chikwawa,2022/23,background_key_metrics,Average Productivity,468.7,kg [per 0.25 ha],468.7kg [per 0.25 ha]
ABE,Malawi,Katowo,2022/23,background_key_metrics,Average Productivity,541.0,kg [per 0.25 ha],541.0kg [per 0.25 ha]
ABE,Mozambique,Mozambique,2022/23,background_key_metrics,Average Productivity,810.3,kg [per 0.25 ha],810.3kg [per 0.25 ha]
ABE,Mozambique,Small scale commercial farmers,2022/23,background_key_metrics,Average Productivity,"1,188.0",kg [per 0.25 ha],"1,188.0kg [per 0.25 ha]"
ABE,Mozambique,Subsistence farmers,2022/23,background_key_metrics,Average Productivity,453.0,kg [per 0.25 ha],453.0kg [per 0.25 ha]
ABE,Mozambique,Organisation farmers,2022/23,background_key_metrics,Average Productivity,"1,503.8",kg [per 0.25 ha],"1,503.8kg [per 0.25 ha]"
ABE,Zimbabwe,Zimbabwe,2022/23,background_key_metrics,Average Price Per Kg,0.8,[per kg fresh],$0.80 [per kg fresh]
ABE,Zimbabwe,Birchenough,2022/23,background_key_metrics,Average Price Per Kg,0.8,[per kg fresh],$0.80 [per kg fresh]
ABE,Zimbabwe,Zaka,2022/23,background_key_metrics,Average Price Per Kg,0.8,[per kg fresh],$0.80 [per kg fresh]
ABE,Zimbabwe,Ruware,2022/23,background_key_metrics,Average Price Per Kg,0.8,[per kg fresh],$0.80 [per kg fresh]
ABE,Malawi,Malawi,2022/23,background_key_metrics,Average Price Per Kg,2.4,[per kg dry],$2.44 [per kg dry]
ABE,Malawi,Chikwawa,2022/23,background_key_metrics,Average Price Per Kg,2.4,[per kg dry],$2.43 [per kg dry]
ABE,Malawi,Katowo,2022/23,background_key_metrics,Average Price Per Kg,2.5,[per kg dry],$2.45 [per kg dry]
ABE,Mozambique,Mozambique,2022/23,background_key_metrics,Average Price Per Kg,1.0,[per kg fresh],$1.01 [per kg fresh]
